date,open,high,low,close,volume
2021-04-12 14:04:00,244.2,244.22,243.8501,243.96,123339.0
2021-04-12 14:03:00,243.91,244.2494,243.83,244.2,101311.0
2021-04-12 14:02:00,243.9325,244.04,243.7684,243.908,128239.0
2021-04-12 14:01:00,243.704,243.96,243.5891,243.92,114294.0
2021-04-12 14:00:00,243.5401,243.78,243.5102,243.715,89687.0
2021-04-12 13:59:00,243.66,243.6899,243.402,243.5401,69598.0
2021-04-12 13:58:00,243.31,243.7,243.24,243.635,69980.0
2021-04-12 13:57:00,243.42,243.42,243.2901,243.32,35142.0
2021-04-12 13:56:00,243.35,243.46,243.22,243.3967,80970.0
2021-04-12 13:55:00,243.205,243.58,243.1401,243.355,149135.0
2021-04-12 13:54:00,243.145,243.29,243.1201,243.2038,57462.0
2021-04-12 13:53:00,243.24,243.34,243.125,243.14,58872.0
2021-04-12 13:52:00,243.12,243.24,243.06,243.22,43936.0
2021-04-12 13:51:00,243.28,243.29,243.055,243.11,51786.0
2021-04-12 13:50:00,243.1855,243.4,243.1212,243.27,160855.0
2021-04-12 13:49:00,242.83,243.1812,242.78,243.18,83915.0
2021-04-12 13:48:00,242.74,242.94,242.6938,242.86,63970.0
2021-04-12 13:47:00,242.575,242.9129,242.575,242.754,175771.0
2021-04-12 13:46:00,241.99,242.62,241.99,242.62,157896.0
2021-04-12 13:45:00,241.94,242.0,241.93,242.0,68939.0
2021-04-12 13:44:00,241.85,241.98,241.84,241.94,26988.0
2021-04-12 13:43:00,241.79,241.88,241.7,241.8794,43639.0
2021-04-12 13:42:00,241.98,241.9999,241.63,241.77,118567.0
2021-04-12 13:41:00,241.9899,242.0,241.92,241.99,90177.0
2021-04-12 13:40:00,241.865,241.99,241.84,241.98,75103.0
2021-04-12 13:39:00,241.83,241.9194,241.79,241.8638,45155.0
2021-04-12 13:38:00,241.85,241.92,241.7786,241.83,41613.0
2021-04-12 13:37:00,241.8,241.93,241.61,241.83,125915.0
2021-04-12 13:36:00,241.88,241.92,241.75,241.82,68059.0
2021-04-12 13:35:00,241.8848,241.92,241.801,241.88,51448.0
2021-04-12 13:34:00,242.007,242.03,241.87,241.88,45944.0
2021-04-12 13:33:00,241.97,242.16,241.83,242.005,62531.0
2021-04-12 13:32:00,242.015,242.055,241.75,241.96,38762.0
2021-04-12 13:31:00,241.84,242.08,241.76,242.01,59586.0
2021-04-12 13:30:00,241.98,242.01,241.69,241.8347,72060.0
2021-04-12 13:29:00,242.01,242.07,241.885,242.02,53755.0
2021-04-12 13:28:00,242.0826,242.15,242.0,242.04,51278.0
2021-04-12 13:27:00,242.21,242.215,242.04,242.09,50379.0
2021-04-12 13:26:00,242.02,242.22,242.01,242.2,38430.0
2021-04-12 13:25:00,242.1,242.28,242.03,242.03,45443.0
2021-04-12 13:24:00,242.115,242.124,241.952,242.08,37528.0
2021-04-12 13:23:00,242.19,242.2126,241.99,242.0901,66312.0
2021-04-12 13:22:00,242.13,242.3393,242.1101,242.2,54479.0
2021-04-12 13:21:00,241.955,242.221,241.955,242.11,45198.0
2021-04-12 13:20:00,242.13,242.2269,241.88,241.9499,114503.0
2021-04-12 13:19:00,242.2738,242.45,242.13,242.13,50843.0
2021-04-12 13:18:00,242.4,242.4,242.13,242.27,51157.0
2021-04-12 13:17:00,242.64,242.64,242.32,242.37,60062.0
2021-04-12 13:16:00,242.7,242.71,242.55,242.63,37787.0
2021-04-12 13:15:00,242.875,242.96,242.7,242.7001,31128.0
2021-04-12 13:14:00,242.88,242.91,242.7248,242.8656,53854.0
2021-04-12 13:13:00,243.07,243.1291,242.79,242.87,95129.0
2021-04-12 13:12:00,243.23,243.26,243.03,243.08,88981.0
2021-04-12 13:11:00,243.24,243.28,243.19,243.22,45407.0
2021-04-12 13:10:00,243.4001,243.4384,243.16,243.24,65318.0
2021-04-12 13:09:00,243.16,243.48,243.1542,243.43,83463.0
2021-04-12 13:08:00,242.99,243.18,242.99,243.164,40153.0
2021-04-12 13:07:00,243.07,243.15,242.9701,243.03,55234.0
2021-04-12 13:06:00,243.23,243.2374,243.0127,243.03,51994.0
2021-04-12 13:05:00,243.02,243.27,243.02,243.23,86284.0
2021-04-12 13:04:00,242.7501,243.0739,242.74,243.02,89243.0
2021-04-12 13:03:00,242.8439,242.85,242.65,242.76,55324.0
2021-04-12 13:02:00,242.53,242.89,242.41,242.835,84642.0
2021-04-12 13:01:00,242.39,242.57,242.29,242.5001,59145.0
