,date,Open,High,Low,Close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
158,2020-07-17,24.38,24.38,24.38,24.38,24.0842922285,0.0,0.0,1.0
159,2020-07-16,24.33,24.33,24.33,24.33,24.0348986841,0.0,0.0,1.0
160,2020-07-15,24.51,24.51,24.51,24.51,24.2127154438,0.0,0.0,1.0
161,2020-07-14,24.47,24.47,24.47,24.47,24.1732006083,0.0,0.0,1.0
162,2020-07-13,24.28,24.28,24.28,24.28,23.9855051398,0.0,0.0,1.0
163,2020-07-10,24.81,24.81,24.81,24.81,24.50907671,0.0,0.0,1.0
164,2020-07-09,24.62,24.62,24.62,24.62,24.321381241399997,0.0,0.0,1.0
165,2020-07-08,24.42,24.42,24.42,24.42,24.123807064,0.0,0.0,1.0
166,2020-07-07,24.1,24.1,24.1,24.1,23.807688380100004,0.0,0.0,1.0
167,2020-07-06,24.28,24.28,24.28,24.28,23.9855051398,0.0,0.0,1.0
168,2020-07-02,23.68,23.68,23.68,23.68,23.3927826075,0.0,0.0,1.0
169,2020-07-01,23.54,23.54,23.54,23.54,23.2544806833,0.0,0.0,1.0
170,2020-06-30,23.26,23.26,23.26,23.26,22.977876834899998,0.0,0.0038,1.0
171,2020-06-29,22.81,22.81,22.81,22.81,22.5296542527,0.0,0.0,1.0
172,2020-06-26,22.55,22.55,22.55,22.55,22.272849776300003,0.0,0.0,1.0
173,2020-06-25,23.13,23.13,23.13,23.13,22.845721300500003,0.0,0.0,1.0
174,2020-06-24,22.91,22.91,22.91,22.91,22.6284252051,0.0,0.0,1.0
175,2020-06-23,23.39,23.39,23.39,23.39,23.102525776900002,0.0,0.0,1.0
176,2020-06-22,23.21,23.21,23.21,23.21,22.9247380625,0.0,0.0,1.0
177,2020-06-19,22.93,22.93,22.93,22.93,22.6481793956,0.0,0.0,1.0
178,2020-06-18,22.94,22.94,22.94,22.94,22.6580564909,0.0,0.0,1.0
179,2020-06-17,22.87,22.87,22.87,22.87,22.588916824200002,0.0,0.0,1.0
180,2020-06-16,22.8,22.8,22.8,22.8,22.5197771575,0.0,0.0,1.0
181,2020-06-15,22.4,22.4,22.4,22.4,22.1246933477,0.0,0.0,1.0
182,2020-06-12,22.14,22.14,22.14,22.14,21.8678888713,0.0,0.0,1.0
183,2020-06-11,21.97,21.97,21.97,21.97,21.699978252199998,0.0,0.0,1.0
184,2020-06-10,23.13,23.13,23.13,23.13,22.845721300500003,0.0,0.0,1.0
185,2020-06-09,22.84,22.84,22.84,22.84,22.5592855384,0.0,0.0,1.0
186,2020-06-08,22.69,22.69,22.69,22.69,22.4111291098,0.0,0.0,1.0
187,2020-06-05,22.51,22.51,22.51,22.51,22.2333413954,0.0,0.0,1.0
188,2020-06-04,22.07,22.07,22.07,22.07,21.7987492046,0.0,0.0,1.0
189,2020-06-03,22.23,22.23,22.23,22.23,21.9567827285,0.0,0.0,1.0
190,2020-06-02,22.12,22.12,22.12,22.12,21.848134680799998,0.0,0.0,1.0
191,2020-06-01,21.99,21.99,21.99,21.99,21.7197324427,0.0,0.0,1.0
192,2020-05-29,21.89,21.89,21.89,21.89,21.6209614902,0.0,0.0,1.0
193,2020-05-28,21.58,21.58,21.58,21.58,21.3147715376,0.0,0.0,1.0
194,2020-05-27,21.64,21.64,21.64,21.64,21.374034109100002,0.0,0.0,1.0
195,2020-05-26,21.52,21.52,21.52,21.52,21.255508966199997,0.0,0.0,1.0
196,2020-05-22,21.57,21.57,21.57,21.57,21.3048944424,0.0,0.0,1.0
197,2020-05-21,21.49,21.49,21.49,21.49,21.2258776804,0.0,0.0,1.0
198,2020-05-20,21.73,21.73,21.73,21.73,21.4629279663,0.0,0.0,1.0
199,2020-05-19,21.3,21.3,21.3,21.3,21.0382128708,0.0,0.0,1.0
200,2020-05-18,21.37,21.37,21.37,21.37,21.1073525375,0.0,0.0,1.0
201,2020-05-15,20.96,20.96,20.96,20.96,20.7023916325,0.0,0.0,1.0
202,2020-05-14,20.83,20.83,20.83,20.83,20.5739893943,0.0,0.0,1.0
203,2020-05-13,20.61,20.61,20.61,20.61,20.3566932989,0.0,0.0,1.0
204,2020-05-12,20.87,20.87,20.87,20.87,20.6134977753,0.0,0.0,1.0
205,2020-05-11,21.29,21.29,21.29,21.29,21.0283357755,0.0,0.0,1.0
206,2020-05-08,21.12,21.12,21.12,21.12,20.8604251564,0.0,0.0,1.0
207,2020-05-07,20.84,20.84,20.84,20.84,20.5838664895,0.0,0.0,1.0
208,2020-05-06,20.58,20.58,20.58,20.58,20.3270620132,0.0,0.0,1.0
209,2020-05-05,20.45,20.45,20.45,20.45,20.198659775,0.0,0.0,1.0
210,2020-05-04,20.23,20.23,20.23,20.23,19.9813636796,0.0,0.0,1.0
211,2020-05-01,19.97,19.97,19.97,19.97,19.7245592033,0.0,0.0,1.0
212,2020-04-30,20.62,20.62,20.62,20.62,20.3665703942,0.0,0.0,1.0
213,2020-04-29,20.58,20.58,20.58,20.58,20.3270620132,0.0,0.0,1.0
